D2-transform-then-numreq | TC=REJECT | Type checking failed because of a type inconsistency. 
D3-buildcol-sort | TC=REJECT | Type checking failed because of a type inconsistency. 
F1-select-dropped | TC=REJECT | This program cannot be type-checked. The reason that it cannot be type-checked is: The table does not have a column name
F2-drop-then-select | TC=REJECT | This program cannot be type-checked. The reason that it cannot be type-checked is: There is no column named "b" in this 
F3-bracket-retype | TC=REJECT | Type checking failed because of a type inconsistency. 
F4-stack-mismatch | TC=REJECT | Type checking failed because of a type inconsistency. 
F5-empty-infer | TC=REJECT | Type checking failed because of a type inconsistency. 
R1-getcol-missing | TC=REJECT | This program cannot be type-checked. The reason that it cannot be type-checked is: The table does not have a column name
R2-postdrop | TC=REJECT | This program cannot be type-checked. The reason that it cannot be type-checked is: The table does not have a column name
R3-wrong-sort-arg | TC=REJECT | Type checking failed because of a type inconsistency. 
W1-cell-ann | TC=REJECT | Type checking failed because of a type inconsistency. 
W1b-cell-ann-row | TC=REJECT | Type checking failed because of a type inconsistency. 
W2-addcol-collision | TC=REJECT | Type checking failed because of a type inconsistency. 
W3-rename-collision | TC=REJECT | Type checking failed because of a type inconsistency. 
W4-depth-mismatch | TC=REJECT | Type checking failed because of a type inconsistency. 
